L1,L2,L3,L4,R1,R2,R3,R4
13679.9,9670.8,23051.1,10183.9,20141.9,15933.5,13040.7,3625.5
13945,9790.4,22941,10068.6,19955,15832.4,13252.9,3868.2
14045.3,9824,22746.5,9936.4,19890.2,15781.2,13402.9,3987.5
14159.9,9854.5,22689.3,9790.1,19718.2,15700.4,13559.7,4091
14255.2,9881.2,22674.9,9685.5,19553.4,15580.3,13863.2,4212.2
14312,9887.5,22676.1,9662.2,19336.5,15440.8,14066.9,4352.4
14331.7,9878.9,22686.5,9662.2,19112.8,15301.2,14278,4505.3
14295.5,9878.9,22731.6,9778.6,18882.4,15015.9,14402.3,4595.1
14274,9898.3,22826.9,9855.5,18662.1,14884,14455.4,4624.3
14300.6,9946.9,22963.8,9936.2,18461,14761.7,14490.2,4642.4
14369.1,10001.7,23092,10034.8,18251.2,14638.8,14551.5,4685.6
14429.7,10060.2,23227.9,10143.4,18037.8,14502.6,14643.9,4754.7
14503.7,10122.2,23339.3,10227.5,17810.4,14342.1,14731.2,4823.9
14570,10184,23419.9,10299.5,17553.2,14165.7,14829.5,4907.3
14615.3,10231.9,23550.4,10362,16988.5,13768.7,14965.3,5020.5
14676.2,10273,23621.2,10425.4,16704.4,13580,15127.5,5159.6
14696.6,10310.9,23702,10529.9,16425.4,13399.3,15297.2,5304.8
14669.8,10336.2,23779.8,10631.4,16166.2,13232.2,15482.7,5463.4
14654.9,10360.8,23853,10716.4,15936.1,13089.8,15636.9,5607.5
14643.1,10413.8,23902.6,10777.4,15740.2,12976.2,15743.5,5808.3
14645.9,10442.2,23909.3,10816.6,15567.4,12873.4,15837.6,5906.3
14650,10458,23909.3,10835.1,15403.3,12673.9,15941.5,6010
14650,10459.2,23897.3,10863,15253.4,12588.2,16053.9,6131.6
14639.2,10459.2,23884.4,10899.5,15110.3,12500.3,16321.7,6262
14620.1,10448.5,23872,10923.2,14963.7,12440.8,16478.5,6406.6
14594.5,10431,23848,10935.1,14847,12405.2,16632.7,6550.5
14554.4,10409.8,23792.1,10917.2,14750.8,12395.9,16770.4,6680.1
14529,10392.1,23609.9,10871.4,14750.8,12395.9,16876.2,6782
14513.6,10368.2,23559.6,10804.6,14761.5,12459.5,16940.2,6850.4
14491.3,10343.3,23531.7,10765.8,14783.7,12503.4,16953.9,6876.1
14491.3,10343.3,23531.7,10765.8,14783.7,12503.4,16953.9,6876.1
14473.3,10309,23500.5,10689.1,14879.1,12622.3,16922.2,6870.6
14429.2,10287.3,23494.2,10678.3,14958.7,12692.3,16874.4,6850.3
