L1,L2,L3,L4,R1,R2,R3,R4
5429.2,14085.3,16570.1,15275.7,5649.5,18208.7,15793.5,19406.8
5429.2,14085.3,16570.1,15275.7,5649.5,18208.7,15793.5,19406.8
5445.6,14189.5,16498.4,15240.1,5657.3,18263.4,15747.1,19341.8
5513,14457.7,16356.2,15174.9,5664.3,18323,15604.5,19247.5
5562.8,14787,16307.9,15165.1,5664.3,18348.4,15529.3,19195.5
5562.8,14787,16307.9,15165.1,5664.3,18348.4,15529.3,19195.5
5633.4,14965.3,16268.3,15120.8,5661.5,18356.4,15432.7,19118.7
5798.1,15233.7,16244.8,15084.9,5635.7,18338.5,15236.5,18945.7
5874,15275.6,16264.4,15093.3,5613.9,18297.5,15134.1,18834.4
5874,15275.6,16264.4,15093.3,5613.9,18297.5,15134.1,18834.4
5929.1,15275.8,16337,15118.1,5598.2,18310.6,15029.8,18775
5957.9,15257.5,16364.2,15092,5591.8,18333.9,14985.9,18795.4
5967,15205.1,16295.9,15049.4,5591.6,18394.2,15003.2,18847
5964,15031.2,16067.1,14813,5610.4,18612.3,15068.4,19170
5964,15031.2,16067.1,14813,5610.4,18612.3,15068.4,19170
5966.9,14912.5,15925,14644.4,5628.8,18767.7,15112.8,19388.1
5970.9,14778.6,15749.6,14461.6,5688.9,19204.1,15118.4,19659
5939.3,14470,15254,13980.8,5796.9,19828.9,15144.4,20312.6
5939.3,14470,15254,13980.8,5796.9,19828.9,15144.4,20312.6
5897.2,14285,14965.8,13692.5,5867.3,20170.7,15174.3,20674.6
5806.8,13897.4,14365.9,13107.3,6032.1,20904.7,15278.2,21878.9
5806.8,13897.4,14365.9,13107.3,6032.1,20904.7,15278.2,21878.9
5766.3,13705.8,14024.6,12780.8,6115.3,21266.8,15347.9,22260.5
5727.9,13334.4,13728.3,12441,6194,21930.4,15411.8,22605
5690,13166.4,13258.1,11931.3,6275.1,22221.2,15447.9,22903.9
5657.2,13024.3,13035.6,11697.3,6358.1,22453.9,15470.2,23174.3
5629.4,12929.9,12905.4,11491.8,6431,22634,15493.9,23355.8
5627.3,12892.5,12860.1,11322.8,6561.4,22884.2,15432,23404.7
5657.3,12903.7,12882,11322.8,6573.2,22935.1,15296.7,23342.7
5711.3,12926.7,12965.4,11349.9,6573.2,22920.8,15143.1,23215.4
5771.9,12951.8,13099.6,11436.2,6570,22834.1,14980.9,23028
5820.2,12978.4,13283.5,11569.6,6558,22706.2,14832.8,22791.8
5863.5,12998.9,13513.8,11739.7,6538.9,22549.9,14720.9,22526.2
5954.4,13022.2,13774.2,11940.6,6513.6,22396.9,14504.5,22253.5
6004.5,13050.5,14049.1,12159.1,6487.5,22237.8,14398.6,21966
6056.3,13087.6,14311.5,12376.2,6456.8,22059.8,14301.1,21671.2
6102.7,13124.1,14806.6,12590.4,6420.8,21788,14217,21382
6140.2,13157,15007.1,12802.4,6393,21701.7,14122,20857.7
6172.3,13198.2,15145.4,12981.4,6355.5,21631.9,14034.8,20670.6
6192.4,13232.7,15251.2,13105.7,6337.4,21581.6,13979.4,20544.1
6192.4,13240.8,15324.2,13197.6,6325.9,21550,13967.7,20491.3
6188.1,13223.6,15355.4,13263.4,6320.9,21526.4,13967.7,20491.1
