L1,L2,L3,L4,R1,R2,R3,R4
10026.8,11115.1,16277.4,18642.4,9566.5,16592.6,15953.2,10384.7
10021.5,11120,16296.6,18699.7,9571.9,16597.2,15903.5,10348.3
10021.5,11120,16296.6,18699.7,9571.9,16597.2,15903.5,10348.3
10008.8,11118.4,16300.8,18733.3,9581.6,16615.7,15867.7,10325.4
10008.8,11122.5,16291.9,18736.3,9620.3,16647.8,15841.1,10312.4
10012.2,11135.4,16263.8,18732.8,9646.5,16690.7,15818.4,10304.4
10036.1,11162.6,16219.2,18698,9673.1,16730.7,15791.2,10294.4
10084,11256.1,16176,18638.2,9703.2,16816,15750.9,10277.7
10145,11302.6,16137.5,18504.2,9733.4,16853.6,15694.7,10253.4
10205,11344.7,16102.3,18447.9,9756.6,16879.9,15639.3,10230.9
10254.5,11374.2,16066.8,18403.6,9772,16892.4,15605.3,10218.9
10286.4,11387.2,16037.4,18360.3,9783.2,16903.6,15592.7,10214.7
10302.7,11408.8,16015.3,18324.8,9797,16917.3,15589.6,10214.7
10330.2,11421.9,15965.5,18297.9,9812.2,16944,15586.4,10215.9
10330.2,11421.9,15965.5,18297.9,9812.2,16944,15586.4,10215.9
10386.6,11485,15814,18122.2,9847,17031,15590.2,10245.3
10436.3,11515.8,15727.2,18001.4,9884.1,17056.2,15617.3,10279.4
10508.5,11549.3,15564.3,17783,9901.5,17081.5,15803.3,10384.8
10508.5,11549.3,15564.3,17783,9901.5,17081.5,15803.3,10384.8
10514.7,11550.4,15517.6,17715,9900.9,17073.5,15874.2,10483.4
10505.2,11536.2,15468.8,17659,9889.8,17030.4,15987.3,10547.2
10505.2,11536.2,15468.8,17659,9889.8,17030.4,15987.3,10547.2
10490.4,11522.8,15462,17656.5,9885.7,17020.1,16032.3,10570
10472.1,11510.7,15451.3,17656,9881.8,17001.8,16078.5,10595.1
10461,11502.1,15435.2,17640.8,9872.7,16980.5,16120.7,10618.2
10464.3,11512.7,15416.4,17614.3,9861.3,16964.9,16157.2,10638.2
10496.8,11522,15378.4,17580.7,9852.6,16957.7,16176,10649.9
10502.9,11527.8,15370.3,17554.1,9840.8,16952.2,16190.6,10658
10501.9,11524.3,15370.3,17545.9,9830.8,16919.9,16206.6,10668.7
10484.2,11503.5,15389.4,17545.9,9819.3,16898.1,16228.4,10680.1
10447.3,11466.3,15418.2,17575.6,9809.4,16876.7,16250.8,10691.7
10408,11431.9,15444,17613,9799.8,16866,16271.6,10703.9
10367.5,11399.1,15461.4,17648.5,9796.4,16865.9,16292.5,10716.2
10327.5,11366.5,15477.4,17680,9796.4,16865.9,16303.8,10727.4
10306.5,11346.6,15483.9,17710.9,9798.5,16877,16311.1,10734.6
10303.2,11339.7,15483.9,17717.6,9805.9,16920.3,16304.1,10735.1
10307.1,11340.8,15477.8,17717.6,9817.8,16940.2,16286.1,10729.7
10307.1,11340.8,15477.8,17717.6,9817.8,16940.2,16286.1,10729.7
10339.4,11362.3,15459.8,17701.6,9830.6,16960.8,16222.5,10697.6
10369.6,11381.7,15467.8,17700.8,9829.3,16962.7,16197.9,10684.7
10369.6,11381.7,15467.8,17700.8,9829.3,16962.7,16197.9,10684.7
10427.7,11424.7,15499.7,17729.5,9826.9,16958.4,16122.1,10629.4
10439.2,11439.3,15525.9,17763.6,9820.4,16922.9,16092.7,10600.5
10442,11447,15552.9,17798,9813.1,16903.1,16067.5,10573
10442,11447,15552.9,17798,9813.1,16903.1,16067.5,10573
10472.1,11510.9,15563.6,17805.1,9814.4,16883.6,16005.4,10518.5
10523.7,11553.7,15543.1,17760.1,9820.6,16876.4,15965.9,10491.5
10523.7,11553.7,15543.1,17760.1,9820.6,16876.4,15965.9,10491.5
10626.9,11626,15518.9,17672.2,9827.1,16860,15896.2,10442.1
10626.9,11626,15518.9,17672.2,9827.1,16860,15896.2,10442.1
10670.5,11663.2,15522.1,17657.6,9825.5,16831.8,15853.6,10408.6
10757.5,11729.5,15540.9,17645.9,9819.7,16823.9,15771.2,10337.5
10757.5,11729.5,15540.9,17645.9,9819.7,16823.9,15771.2,10337.5
10785.8,11751.1,15540.9,17644.2,9822.3,16830,15738.7,10315.7
10803.2,11767.9,15531.8,17638.7,9828.1,16845.9,15724.3,10308.7
10820.8,11781.7,15505.1,17622.8,9841.3,16872.1,15720.3,10308.7
10837,11787.1,15461.9,17581.9,9859.4,16904.5,15720.3,10333
10846.1,11789.3,15408,17526.1,9881.2,16978.3,15760.6,10365.5
10856.1,11791.1,15346.5,17458.5,9907.3,17029.8,15792.1,10403.4
10860.7,11791,15281.9,17385.4,9937.7,17078.3,15820.1,10441.3
10867.4,11793.2,15218.4,17305.6,9968.5,17117.4,15840,10475.2
10896.2,11801.9,15122.4,17160.4,10025.4,17149.2,15873.8,10522.9
10896.2,11801.9,15122.4,17160.4,10025.4,17149.2,15873.8,10522.9
10910.5,11813.9,15098.5,17114.5,10034.1,17151.6,15889.7,10534.7
10926.2,11814.6,15076.5,17086.9,10034.2,17143.9,15909,10544.1
10931.1,11809.4,15080.1,17075.3,10034.2,17125.7,15934.7,10549.8
10927.7,11799,15084.5,17075.3,10027.5,17098.5,15968,10554.6
10916.9,11786.1,15090.7,17082,10015.9,17059.6,16010,10564.7
10899.1,11766.2,15106,17122.4,9996.9,17005.5,16061.5,10582.2
10864.1,11737.8,15135.4,17170.3,9970.1,16946.1,16116.7,10596.8
10813.3,11704.4,15164,17212.5,9946.8,16894.3,16165.4,10614.4
10769.7,11683.3,15186.7,17237.3,9928.4,16852.2,16207.8,10626.5
