L1,L2,L3,L4,R1,R2,R3,R4
1320.1,4239.4,22905.8,17590.5,4933.4,8747.8,29942.8,20211.6
1291.9,4194,22850.2,17545.7,4835.7,8575.4,30239.5,20331.3
1262.8,4139.3,22772.2,17504.4,4717.3,8160.3,30583.6,20480.5
1229.5,4081.9,22744.3,17465.9,4583.7,8063,30995,20632.4
1229.5,4081.9,22744.3,17465.9,4583.7,8063,30995,20632.4
1173.9,4004.4,22720.9,17431.4,4489.9,8083.7,31478.2,20837.3
1147.8,3986.7,22737.5,17432.7,4555.5,8181.8,31209.5,20770.8
1138.7,3972.8,22765,17450.1,4642.1,8308.8,30971.8,20710.7
1126.5,3955.9,22787.2,17475.5,4695.2,8394.3,30850.6,20678.7
1110,3932.9,22781.9,17493.6,4695.3,8359.7,30900,20695.4
1086.8,3901,22742.4,17490.7,4677.1,8346,31021.8,20746.5
1054.8,3859.8,22673.6,17465.9,4661,8400.3,31195.7,20832.5
1026.3,3823.7,22571.8,17415.8,4674,8493.1,31361.6,20889.3
1010.3,3806.2,22472,17330.6,4725.6,8529.1,31454.6,20967.4
992.7,3783,22419.9,17260.3,4765.5,8529.1,31517.9,21009.3
985.2,3768,22342.1,17219.5,4776.2,8495.7,31578.6,21038.1
979.6,3760.2,22342.3,17172.2,4764.6,8409.4,31670.9,21052.6
971.6,3753.1,22343.2,17167.5,4765.5,8399.2,31769,21048.6
969.2,3755.5,22336,17172.2,4778.5,8401.2,31807.7,21023.9
975.9,3768.7,22323.8,17165.7,4786.2,8379.4,31801.3,21007
987.8,3787.5,22321,17159,4786.1,8302.9,31790.5,20999.1
987.8,3787.5,22321,17159,4786.1,8302.9,31790.5,20999.1
1002,3805.4,22317.5,17161.2,4757.5,8178.5,31796.1,20974.5
1013,3813.6,22265.7,17153.4,4632.1,7923.4,32045.6,21020.6
1013,3813.6,22265.7,17153.4,4632.1,7923.4,32045.6,21020.6
1008.3,3814.9,22140,17018.7,4605.4,8001.1,32304.9,21190
1008.3,3817.5,22064.5,16950.9,4645.3,8081.2,32320.3,21251.8
1008.3,3817.5,22064.5,16950.9,4645.3,8081.2,32320.3,21251.8
1006,3814.4,21815.7,16802.8,4640.2,8120.2,32607.1,21434.8
1002.5,3809.7,21732.9,16725.6,4639.8,8145.2,32746.4,21505.9
996.6,3801.5,21682,16662.2,4642.1,8188.5,32835.9,21578.2
992.7,3797.4,21644.3,16620.1,4646.5,8197,32871.8,21628.2
990.4,3790.2,21635.8,16601.3,4650.3,8201.5,32884.8,21659.1
990.4,3790.2,21635.8,16601.3,4650.3,8201.5,32884.8,21659.1
983.8,3772.9,21652.2,16593.9,4651.6,8201.5,32884.5,21675.2
996.2,3777.8,21701.3,16607.5,4724.4,8315.3,32583.4,21587.6
996.2,3777.8,21701.3,16607.5,4724.4,8315.3,32583.4,21587.6
1012,3788.4,21746.8,16642,4801.9,8419.8,32302.2,21505
1015.4,3758.8,21886.5,16773.7,4812.6,8346.1,32018.4,21342.2
996,3719.2,21939.1,16813.2,4751.9,8229.4,32104.3,21355.8
996,3719.2,21939.1,16813.2,4751.9,8229.4,32104.3,21355.8
943.9,3631.9,21968.8,16812.1,4578.1,7940.1,32482.3,21487.4
918,3587.1,21999.7,16809,4496.8,7824.7,32738.5,21628.3
918,3587.1,21999.7,16809,4496.8,7824.7,32738.5,21628.3
896.1,3549.1,22042,16817.8,4435.3,7748.8,33017,21652.9
883.4,3527.6,22087.4,16828.5,4454.8,7844.2,33055.1,21619.4
883,3525.3,22126.2,16842.5,4512.3,7961.5,32797.9,21537.2
892.9,3538.7,22149.2,16849.5,4598.4,8158.2,32470.1,21420.5
910.9,3567.9,22170.7,16849.5,4724.3,8372,32052.7,21286.1
946.6,3617,22190.1,16860.4,4845.3,8579.6,31653.8,21157
980.4,3667.2,22206,16872.2,4955.1,8757.3,31358,21068.2
1009.2,3711.6,22196.9,16876.1,5101.1,8871.8,31134.8,21008.8
1029.5,3738.9,22171.3,16869.9,5106.8,8898.5,31017.9,21000.3
1038,3736,22075.6,16857.8,5094.6,8937.7,31047.3,21046.2
1036.4,3728.1,22007.5,16831.3,5108.3,9039.2,31105.8,21103.8
1036.4,3728.1,22007.5,16831.3,5108.3,9039.2,31105.8,21103.8
1035.5,3746.4,21961,16715,5265.2,9351.4,30876.9,21114.3
1048.4,3772,21961,16715,5377.1,9535.1,30574.7,21048.2
1067.4,3804.3,21995.4,16739.9,5505.9,9742.9,30196.8,20948.3
1090.6,3840.6,22041.7,16784.3,5632.3,9953.5,29800.5,20823.7
1114.3,3874.2,22084.6,16827.4,5743.6,10157.5,29416.6,20599.9
1114.3,3874.2,22084.6,16827.4,5743.6,10157.5,29416.6,20599.9
1136.4,3900.3,22186,16907.4,5728.5,10032.8,29117.2,20492.4
1139,3900.6,22237,16946.8,5620.9,9867.5,29123,20501.2
1127,3880.1,22283.5,17000.5,5507.6,9672.2,29562.4,20533.1
1103.9,3849.9,22335,17058.9,5432.4,9516.4,29683.5,20544.3
1092.2,3830.8,22452.3,17114.5,5423.9,9475.2,29648.6,20525.2
1092.2,3830.8,22452.3,17114.5,5423.9,9475.2,29648.6,20525.2
1095.8,3830.9,22670.2,17271.5,5533.3,9766.8,29179.5,20331.5
1109.9,3845.9,22799.5,17370.2,5603.6,9871.8,28816.9,20167.7
1124.8,3865.6,22918.6,17467.7,5655,9941,28503.5,20022
1133.7,3885,23031.2,17557.7,5673.3,9941.1,28332.8,19912.3
1132,3878.3,23141.7,17648.5,5626.7,9829.5,28382.3,19858.7
1128.8,3869.8,23231.2,17736.5,5423.7,9657.6,28588.3,19863.7
1120.7,3857.8,23283.3,17786.6,5276.1,9189.8,28841.7,19901.1
1117.2,3852.6,23295.4,17802.6,5141.3,8986.1,29159.6,19954.8
1117.6,3852.6,23290.8,17801.1,5032.6,8868,29415.6,20026.4
1118.7,3855.6,23288.7,17808.1,4975.2,8867,29563.4,20091.1
1118.7,3855.6,23288.7,17808.1,4975.2,8867,29563.4,20091.1
1120.9,3867.9,23294,17827.2,5003.1,9084.1,29444.5,20231.8
1120.9,3867.9,23294,17827.2,5003.1,9084.1,29444.5,20231.8
1127.8,3887,23292.2,17828.7,5066,9265.4,29058.1,20286.6
1131.6,3893.6,23270.3,17834.6,5048.3,9121.9,28943.6,20353.2
1131.4,3892.3,23218.5,17823.7,4959.2,8923.7,29402.5,20484.5
1117.4,3869.7,23132.5,17746,4811,8692.2,29874,20692.9
1117.4,3869.7,23132.5,17746,4811,8692.2,29874,20692.9
1059.8,3786.1,22925.6,17575.6,4363.8,8264.5,31089.2,21312.1
1059.8,3786.1,22925.6,17575.6,4363.8,8264.5,31089.2,21312.1
1041.4,3748.3,22764.3,17417.3,4286.5,8104.2,31500.9,21620.9
1041.4,3733,22532.9,17204,4277.1,8285.8,31714.4,21867.1
1044.2,3753.6,22268.1,16967.3,4342.5,8479.7,31591.6,22026.2
1069.1,3790.1,22044.8,16795.4,4462.7,8784.6,31346.2,22084.3
1148,3867.7,21858.2,16677.9,4792,9372.8,30411.1,22090.8
1148,3867.7,21858.2,16677.9,4792,9372.8,30411.1,22090.8
1189.2,3904.3,21872.3,16695.2,4887.3,9487.6,30028.2,22041.9
1226.9,3929.9,21908.2,16703.8,4906.3,9461.9,29909.3,21977.2
1258.3,3944.8,21962.2,16716.4,4878,9288.2,29917.4,21937.8
1284,3955.7,22033.9,16740.2,4890.5,9311.3,29845.8,21783.3
1310.4,3973.6,22123.9,16789,4934.4,9365,29664.6,21661.7
1339.2,3996.5,22242.7,16871.1,4980.6,9442.7,29407.7,21558
1369.3,4021.6,22358.4,16952.6,5056.9,9585.6,29091,21432.5
1403,4057.5,22506.3,17045.5,5193.6,9825.9,28654.4,21243.1
1442.9,4111.5,22655.3,17163.3,5394.2,10190.9,28072.3,20952
1499.5,4200.5,22847.1,17309,5638.7,10988,25979.3,20474
1582.4,4290.9,23136.2,17493.6,6044.5,11634,24582.3,19752.8
1775.3,4381.3,23956.1,17747.7,6681.8,12306.4,23143.2,18729.4
1895.5,4472.5,24377.1,18045.2,7280.6,12557.3,22321.9,17823
2006.6,4575.8,24615.9,18292.5,7424.3,12291.3,22183,17478.5
2113.5,4749,24615.9,18380.6,7079.5,11998.3,22391.7,17462
2204.6,4809.5,24609.3,18380.6,6853.2,11488.1,22833.2,17462
2273.6,4841,24390.7,18279.1,6733.2,10989.1,23278.3,17605
2322.1,4859.7,24048.2,18023.8,6678.3,10918.6,23608.3,17811.4
2346.1,4864.9,23655.9,17687.4,6642,10789.5,23778.4,18036.1
2345.6,4862.5,23327.9,17392.4,6562.7,10583.2,23880.5,18264.1
2345.6,4856.6,23026.6,16934.1,6432,10339.8,24115,18499.4
2345.6,4856.6,23026.6,16934.1,6432,10339.8,24115,18499.4
2312,4801.5,22316.6,16303.6,6137.5,9785.6,24980.5,19381.4
2283,4750.6,21398.3,15934.8,5989,9062.8,25481.7,19764.3
2241.2,4676,20870.9,15561,5813.4,8513.8,26157.4,20280.8
2182.5,4579.9,20346.7,15181.5,5566.8,7754.1,27050.7,20949.4
2108.1,4474.5,19873.5,14836.5,4432.7,6852.6,28178.9,21807.3
2012.4,4359.3,19395.3,14528.2,3750.7,6241.7,29519.5,22924.2
1891.7,4227.9,18942.5,14216.8,3456.4,6088.5,30989.6,23925.1
1891.7,4227.9,18942.5,14216.8,3456.4,6088.5,30989.6,23925.1
1604.1,3946.5,18511.1,13893.6,3404.1,6187.9,32227.4,24493.3
1467.4,3818,18511.1,13893.6,3426.3,6195.6,32111.3,24498.3
1467.4,3818,18511.1,13893.6,3426.3,6195.6,32111.3,24498.3
1243.6,3551.5,18630,14034.1,3397.7,6083.9,31869.8,24489.2
1158,3499.1,18755,14177.3,3361.9,6046.5,31850.1,24454.9
1158,3499.1,18755,14177.3,3361.9,6046.5,31850.1,24454.9
1060.3,3432.3,18800.8,14334.7,3335.7,6027.4,31931.1,24425.6
1035.8,3405.9,18706,14307.1,3365.7,6103.1,31998.1,24484.2
1035.8,3405.9,18706,14307.1,3365.7,6103.1,31998.1,24484.2
1008.7,3382.8,18707.2,14217.6,3384.8,6111.3,31985.7,24500.8
999.9,3390.4,18772.8,14253.3,3380.8,6073.6,31901.7,24389.5
999.8,3402.4,18781.5,14297.2,3368.1,6037.6,31804.9,24285.2
999.8,3402.4,18781.5,14297.2,3368.1,6037.6,31804.9,24285.2
1002.4,3395.2,18659.1,14271.2,3368.3,6013,31787.8,24291.8
999.2,3361.1,18425.6,14133.5,3384.4,6067.1,31907.7,24443.5
999.2,3361.1,18425.6,14133.5,3384.4,6067.1,31907.7,24443.5
977.2,3258,17827,13722.6,3443.5,6245,32397,24994.4
977.2,3258,17827,13722.6,3443.5,6245,32397,24994.4
959.8,3217.5,17599,13574.8,3503.7,6425.5,32519.9,25250.7
925.2,3154.9,17418.5,13443.9,3834.2,6850.8,32617.8,25668.5
925.2,3154.9,17418.5,13443.9,3834.2,6850.8,32617.8,25668.5
913.9,3134.1,17448.1,13458.7,3948.1,7066.7,32572.8,25799.8
904.3,3104.5,17528.4,13508.2,4055.3,7461.4,32525.1,25902.6
904.3,3104.5,17528.4,13508.2,4055.3,7461.4,32525.1,25902.6
898.8,3095.9,17797.1,13664.9,4260.5,7824.3,32306.2,25986
898.8,3097.8,17973.9,13781.5,4363.7,8001.4,32146.4,25986
898.8,3097.8,17973.9,13781.5,4363.7,8001.4,32146.4,25986
909.5,3106.4,18355.9,14052.1,4580,8392.8,31715,25925.7
915.4,3110.5,18535.9,14177.4,4696.9,8598.2,31479.1,25815.4
921.3,3119.8,18722,14296.7,4795.3,8862.9,31259.2,25766.5
928.7,3142.7,18961.3,14447.2,4861.2,8906.8,31067.7,25682.6
957.4,3186.1,19273.7,14656,4912.2,8906.8,30846.4,25509.9
978.8,3244.8,20000.3,14899.6,4912.2,8901.8,30574.1,25270
978.8,3244.8,20000.3,14899.6,4912.2,8901.8,30574.1,25270
1018.5,3336.5,20406.3,15311,4844.6,8701.4,30365.2,24966.2
1036.6,3365.4,20509.4,15426,4777.4,8572,30361,24865.8
1049.6,3385.9,20567.5,15500.9,4713.1,8306.2,30401.2,24800.5
1058.5,3401.3,20602.4,15544.3,4643.1,8174.5,30469.6,24760
1066.6,3415.9,20634.1,15573.3,4573.6,8042.7,30737.8,24717.5
1073.5,3430,20647.6,15592.6,4510.6,7913.2,30861.3,24674.3
1077.6,3456.9,20648.9,15600.8,4452.6,7784.3,30981.3,24638.5
1079.4,3464.1,20636.1,15599.6,4387.9,7664.4,31128.3,24613.7
1080.6,3470.5,20596.5,15585.3,4269.3,7551.2,31292.1,24613.8
1077.3,3471.9,20544.8,15559.9,4209.5,7350.1,31493,24651.4
1073.4,3474.6,20441.6,15521.8,4163.5,7294.9,31656.5,24693.3
1070.7,3477.6,20411.4,15488.2,4138.6,7269.1,31759.9,24709.5
1067.8,3480.7,20412.5,15468.9,4132.7,7253.7,31776.6,24688.7
1063.2,3484.2,20429.7,15478.7,4130.5,7241.6,31776.6,24634
1058.9,3485.3,20448.1,15499.1,4130.6,7226.3,31749.7,24575.4
1054,3485.4,20482.6,15523.8,4131,7212.9,31719.5,24514.2
1049,3486.5,20543.6,15615.6,4134.9,7205.2,31678,24451.9
1044.5,3487.9,20597.9,15667.9,4142.5,7190.7,31631.7,24398.5
1040.8,3487.9,20632.7,15706.6,4149.7,7182.6,31608.8,24366.8
1036.7,3487.8,20659.6,15734.7,4158.8,7181.7,31602.9,24350
1029.5,3484.3,20668.9,15740.7,4169,7192.5,31619.7,24353.5
1021.2,3480,20645.1,15723,4180.5,7212.8,31634.5,24365.5
1021.2,3480,20645.1,15723,4180.5,7212.8,31634.5,24365.5
1000.1,3464,20538.2,15678.7,4194.7,7243.3,31734.3,24435.3
990.4,3447.1,20516.7,15660.1,4200.9,7255,31765.5,24465.7
981.4,3437.7,20501.3,15649.9,4205.5,7259.3,31804.1,24494.6
971.5,3428.5,20477.8,15640.8,4209.2,7269.1,31851.4,24533.7
962.6,3417.4,20430.2,15618.8,4213.5,7288.5,31904.2,24572.2
952.3,3403.5,20356.7,15581.3,4218.5,7312.8,31973.2,24629.4
952.3,3403.5,20356.7,15581.3,4218.5,7312.8,31973.2,24629.4
930.2,3375.1,20193.7,15486.3,4225.5,7361.1,32168.6,24893.2
930.2,3375.1,20193.7,15486.3,4225.5,7361.1,32168.6,24893.2
